Trajectory Recorded at ,Wed Oct 28 16:23:25 2020,Duration: 8.45258s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity
seconds,nseconds,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,
1603898605,171523172,-1.7097,-1.56971,0.936953,0.0454776,1.55223,0.628386,-0,0,-0,0,0,0,
1603898605,173521196,-1.7097,-1.56975,0.936953,0.0455133,1.55224,0.628386,-0,0,-0,0,0,0,
1603898605,175506873,-1.70967,-1.56976,0.936929,0.0454895,1.55221,0.628386,-0,0,-0,0,0,0,
1603898605,177507364,-1.70968,-1.56975,0.936953,0.0454895,1.55222,0.628386,-0,0,-0,0,0,0,
1603898605,179500423,-1.7097,-1.56971,0.936977,0.0454776,1.55227,0.628374,-0,0,-0,0,0,0,
1603898605,181492661,-1.70966,-1.56974,0.936965,0.0454895,1.55221,0.628362,-0,0,-0,0,0,0,
1603898605,183528681,-1.70967,-1.5697,0.936941,0.0454537,1.55222,0.628386,-0,0,-0,0,0,0,
1603898605,185548437,-1.70966,-1.56973,0.936965,0.0454895,1.55223,0.628338,-0,0,-0,0,0,0,
1603898605,187526829,-1.70964,-1.56976,0.936965,0.0455014,1.55221,0.628362,-0,0,-0,0,0,0,
1603898605,189521139,-1.70966,-1.56974,0.936965,0.0454776,1.55224,0.628398,-0,0,-0,0,0,0,
1603898605,191510038,-1.70971,-1.56974,0.936941,0.0454656,1.55224,0.628398,-0,0,-0,0,0,0,
1603898605,193511230,-1.7097,-1.56973,0.936977,0.0455014,1.55224,0.628398,-0,0,-0,0,0,0,
1603898605,195511163,-1.7097,-1.56973,0.936977,0.0455133,1.55227,0.628362,-0,0,-0,0,0,0,
1603898605,197518430,-1.7097,-1.56976,0.936941,0.0455014,1.55222,0.628398,-0,0,-0,0,0,0,
1603898605,199504971,-1.70968,-1.56973,0.936977,0.0454895,1.55225,0.628386,-0,0,-0,0,0,0,
1603898605,201519155,-1.70967,-1.56971,0.936977,0.0455376,1.55222,0.628446,-0,0,-0,0,0,0,
1603898605,203659759,-1.70971,-1.56974,0.936953,0.0454895,1.55219,0.62841,-0,0,-0,0,0,0,
1603898605,205582469,-1.70966,-1.56971,0.936953,0.0454776,1.55221,0.62841,-0,0,-0,0,0,0,
1603898605,207525952,-1.70966,-1.56967,0.936989,0.0454656,1.55225,0.628422,-0,0,-0,0,0,0,
1603898605,209520516,-1.70968,-1.56975,0.936989,0.0454656,1.55222,0.628362,-0,0,-0,0,0,0,
1603898605,211498166,-1.70967,-1.56971,0.936965,0.0454776,1.55223,0.628422,-0,0,-0,0,0,0,
1603898605,213496275,-1.70968,-1.56973,0.936989,0.0455014,1.55225,0.62841,-0,0,-0,0,0,0,
1603898605,215498645,-1.7097,-1.56973,0.937001,0.0454418,1.55223,0.628386,-0,0,-0,0,0,0,
1603898605,217508909,-1.70972,-1.56973,0.936989,0.0454776,1.55223,0.628374,-0,0,-0,0,0,0,
1603898605,219508281,-1.70968,-1.56973,0.936965,0.0455014,1.55222,0.628314,-0,0,-0,0,0,0,
1603898605,221621958,-1.70968,-1.5697,0.936965,0.0454656,1.55224,0.62841,-0,0,-0,0,0,0,
1603898605,223562225,-1.70968,-1.5697,0.936953,0.0454776,1.55223,0.628398,-0,0,-0,0,0,0,
1603898605,225581471,-1.70968,-1.56971,0.936953,0.0454537,1.55225,0.628386,-0,0,-0,0,0,0,
1603898605,227548422,-1.70966,-1.5697,0.936953,0.0454537,1.55229,0.628374,-0,0,-0,0,0,0,
1603898605,229505135,-1.7097,-1.56974,0.936941,0.0454895,1.55224,0.628398,-0,0,-0,0,0,0,
1603898605,231501765,-1.70966,-1.56969,0.936965,0.0454895,1.55224,0.628338,-0,0,-0,0,0,0,
1603898605,233499180,-1.70968,-1.56973,0.936977,0.0455014,1.55227,0.628398,-0,0,-0,0,0,0,
1603898605,235507119,-1.7097,-1.56969,0.936977,0.0454895,1.55223,0.628386,-0,0,-0,0,0,0,
1603898605,237555832,-1.70968,-1.56976,0.936989,0.0455014,1.55225,0.628386,-0,0,-0,0,0,0,
1603898605,239511811,-1.70967,-1.5697,0.936965,0.0454299,1.55225,0.62841,-0,0,-0,0,0,0,
